model,test_score,train_score,time,params
ExtraTreesClassifier,0.76249,0.9842,933.207,"{'class_weight': 'balanced', 'n_estimators': 68, 'max_depth': 50, 'min_samples_split': 3, 'min_samples_leaf': 1}"
RandomForestClassifier,0.75673,0.98277,717.392,"{'class_weight': 'balanced', 'n_estimators': 100, 'max_depth': 50, 'min_samples_split': 2, 'min_samples_leaf': 1}"
DecisionTreeClassifier,0.58347,0.96374,135.047,"{'class_weight': 'balanced', 'splitter': 'random', 'max_depth': 50, 'min_samples_split': 3, 'min_samples_leaf': 1}"
